variant,strategy,fold,annual_return,annual_volatility,net_sharpe,sortino,calmar,max_drawdown,cumulative_return,worst_week,worst_month,cvar_95,positive_day_rate,annual_turnover,fees,slippage,funding,btc_beta,btc_correlation,observations
nested_expanding,time_series_slot_1,2022,-0.084941775010003,0.34398587309991563,-0.2469339052924724,-0.3848760884521149,-0.2243710256786414,-0.3785772906866418,-0.1338376389655449,-0.08611159715954375,-0.16163908294084828,-0.03942092124368733,0.4849315068493151,14.807325567734768,0.007403662783867384,0.007403662783867384,-0.01122329478194002,-0.301268439746613,-0.5593221139723403,365
nested_expanding,time_series_slot_1,2023,0.26078770396691653,0.38853822436353863,0.6712021819580578,1.0055982161446027,0.9185467709187721,-0.28391336426567026,0.2040211901996405,-0.13178818943660353,-0.10367641959719254,-0.0450326087111138,0.4575342465753425,30.86704769147481,0.015433523845737405,0.015433523845737405,-0.03093628652888144,0.0483541462219396,0.05497109436643229,365
nested_expanding,time_series_slot_1,2024,-0.18503231034363815,0.4740860202911986,-0.39029269462530336,-0.5381542818141225,-0.3177851238816235,-0.5822560479972737,-0.2580610919046461,-0.1475746668732535,-0.22625915525012152,-0.0603319645750954,0.49453551912568305,31.671272267724543,0.01587902143833861,0.015879021438338605,-0.054203833212895194,0.055276342389967585,0.06198546067159773,366
nested_expanding,time_series_slot_1,2025,-0.01362384829049744,0.13949970979589554,-0.09766219808220912,-0.13311505796861006,-0.08721261002101037,-0.15621420213447712,-0.023068907517487025,-0.04251160453908376,-0.06136276689894571,-0.01745717932699223,0.5178082191780822,8.102368111892948,0.004051184055946474,0.004051184055946474,-0.0011965246797707523,-0.17273321870322642,-0.51672142225748,365
nested_expanding,time_series_slot_1,2026_ytd,-0.1427309537399898,0.13465714884957816,-1.0599582343706881,-1.3527381219232122,-0.909419878904074,-0.15694725511387808,-0.10286830052404816,-0.06728761515851756,-0.0722376639984027,-0.017718386578565424,0.48659003831417624,10.073965663898928,0.003601787723667974,0.0036017877236679736,-0.0035429744376293745,-0.20582991815677804,-0.6995449929285354,261
nested_expanding,time_series_slot_2,2022,-0.07743304033472462,0.33789332268916206,-0.229164162577896,-0.3595234622427983,-0.21099089302431076,-0.3669970737827184,-0.12548025452011458,-0.07323627161592439,-0.16324837728032593,-0.03829057855752965,0.473972602739726,14.40232622214482,0.007201163111072412,0.007201163111072412,-0.01233618936743825,-0.31535509605924383,-0.5960314872495067,365
nested_expanding,time_series_slot_2,2023,0.26076216994594725,0.3885387177730565,0.6711356115048929,1.0055036133445368,0.9184568349587837,-0.2839133642656697,0.20399023745123324,-0.13178818943660353,-0.10367641959719254,-0.0450326087111138,0.4575342465753425,30.890251352848434,0.01544512567642422,0.015445125676424218,-0.030938616888477107,0.048353940416413325,0.054970790589678103,365
nested_expanding,time_series_slot_2,2024,-0.20173712179695213,0.4788332541067255,-0.4213097567195858,-0.5729585927554286,-0.3419335040584071,-0.5899893382851789,-0.2721142227803034,-0.14858319011641008,-0.24153571352717151,-0.06142482284535048,0.5,31.946336163884403,0.01601693018627629,0.01601693018627629,-0.054557213986195605,0.05827181107816912,0.0646966653473491,366
nested_expanding,time_series_slot_2,2025,-0.10398469698160681,0.3158963677830452,-0.3291734492275725,-0.44160667375778606,-0.30531577901555945,-0.3405808154327574,-0.14269639250241806,-0.07088210357111424,-0.13400584026746087,-0.04052581563425215,0.5095890410958904,39.3404590660801,0.019670229533040054,0.019670229533040054,-0.009112819553370052,-0.4322154063934642,-0.5709650386154577,365
nested_expanding,time_series_slot_2,2026_ytd,-0.1519364421366442,0.1353456041941495,-1.1225812839750273,-1.4338503932061113,-0.9430928148741065,-0.16110444246882127,-0.10881713097595802,-0.06925711402926749,-0.07416705094234577,-0.01790650739866943,0.48659003831417624,10.254753642175787,0.0036664256172710685,0.0036664256172710685,-0.0034757210664590416,-0.20834518441277955,-0.7044916946053482,261
nested_expanding,time_series_slot_3,2022,-0.07743304033472462,0.33789332268916206,-0.229164162577896,-0.3595234622427983,-0.21099089302431076,-0.3669970737827184,-0.12548025452011458,-0.07323627161592439,-0.16324837728032593,-0.03829057855752965,0.473972602739726,14.40232622214482,0.007201163111072412,0.007201163111072412,-0.01233618936743825,-0.31535509605924383,-0.5960314872495067,365
nested_expanding,time_series_slot_3,2023,0.2611916340305913,0.3886892118094738,0.6719806624286275,1.0070548304345917,0.9213532303552256,-0.28348696832580644,0.20443663980784432,-0.13172973116537934,-0.10531573041393727,-0.04506554401591598,0.4575342465753425,30.995568114823417,0.015497784057411706,0.015497784057411706,-0.03098896259871653,0.04685977612234995,0.05325153575699384,365
nested_expanding,time_series_slot_3,2024,-0.19481877311342935,0.47347715119656447,-0.4114639378501924,-0.568467710503652,-0.3337999381360778,-0.5836393325933122,-0.2650954768291276,-0.14770126730878497,-0.22441427952116688,-0.060178892541871226,0.4918032786885246,32.00756579771985,0.01604762887940475,0.01604762887940475,-0.053912767732876225,0.052471234798294346,0.05891555086448767,366
nested_expanding,time_series_slot_3,2025,-0.1039483857459472,0.31589423253968574,-0.32906072678262077,-0.44145632867563384,-0.3052091633930284,-0.3405808154327571,-0.14266466539143752,-0.07088210357111424,-0.13400584026746087,-0.04052581563425215,0.5095890410958904,39.30656837512876,0.01965328418756438,0.01965328418756438,-0.009110399008661793,-0.43221311172441323,-0.5709658666512774,365
