variant,strategy,annual_return,annual_volatility,net_sharpe,sortino,calmar,max_drawdown,cumulative_return,worst_week,worst_month,cvar_95,positive_day_rate,annual_turnover,fees,slippage,funding,btc_beta,btc_correlation,observations
nested_expanding,time_series_slot_1,-0.026575810144405913,0.33398998719897516,-0.07957067925085229,-0.10687907307678951,-0.04564282369554767,-0.5822560479972739,-0.3218563196217413,-0.1475746668732535,-0.22625915525012152,-0.042254761431885994,0.4883855981416957,19.657085533517552,0.04636917984755784,0.04636917984755784,-0.10110291364111677,-0.1299376102715918,-0.19734900326483507,1722
nested_expanding,time_series_slot_2,-0.04908854823782746,0.35868393915308944,-0.13685739136726732,-0.18742404384060804,-0.08197088559447174,-0.5988534573199497,-0.4144590144189415,-0.14858319011641008,-0.24153571352717151,-0.04523719850230784,0.48548199767711964,26.283338043310888,0.061999874124084045,0.06199987412408404,-0.11042056086194005,-0.17140965426582908,-0.24241353096350846,1722
nested_expanding,time_series_slot_3,-0.04751937076391325,0.35720552058438515,-0.1330308968522434,-0.18343183854612918,-0.07962450465246075,-0.5967932983862486,-0.40857176841617415,-0.14770126730878497,-0.22441427952116688,-0.044838638577913474,0.483739837398374,26.311491679726338,0.06206628585272432,0.06206628585272432,-0.10982403977415184,-0.17298851132046814,-0.24565895960637119,1722
nested_expanding,time_series_ensemble,-0.04208867053738181,0.19808484235260604,-0.21247799699111142,-0.297982087640824,-0.10852504854492288,-0.38782448017021265,-0.2525597641133954,-0.09074968087588497,-0.12000395607694814,-0.024854042381664675,0.48548199767711964,14.116287447539953,0.0332989684721422,0.03329896847214219,-0.058097035168354405,-0.11748627519003844,-0.30086342839883246,1722
nested_expanding,breakout_slot_1,-0.004917885694550071,0.1613176807235534,-0.030485720303515554,-0.04367158352316206,-0.019260195443208,-0.25533934528604885,-0.08103693931384914,-0.07782381681311668,-0.08825732512993634,-0.01989239138237001,0.49535423925667826,9.47205772994783,0.02234367590543858,0.02234367590543858,-0.040802285853072356,-0.11726531309142905,-0.3687407266008511,1722
nested_expanding,breakout_slot_2,-0.005512340843232814,0.16126834927785327,-0.03418116988185614,-0.0489479130095089,-0.021777010532667496,-0.25312660959426925,-0.08357615827292753,-0.07801926915033441,-0.08826608080797882,-0.01989319149234588,0.49709639953542395,9.497115646504033,0.022402785127780746,0.022402785127780746,-0.04096628433435172,-0.11843271840571815,-0.37252555157558326,1722
nested_expanding,breakout_slot_3,-0.004621874904617293,0.16126958472575512,-0.02865930927072803,-0.04103294996090446,-0.01830484905185288,-0.25249456532117376,-0.0797188147073894,-0.07791690847921262,-0.08826608080797882,-0.019891109852295943,0.49767711962833916,9.473475666700201,0.022347020682270888,0.022347020682270888,-0.040999513007216534,-0.11833891678043433,-0.37222765060891194,1722
nested_expanding,breakout_ensemble,-0.00735307865980803,0.20039441994323842,-0.036693030983052245,-0.052038221338501105,-0.023425491061851475,-0.31389218865864266,-0.12134612601081451,-0.10294441577451818,-0.09984948388128789,-0.02483822254997691,0.4965156794425087,12.062808588460578,0.028455008752505638,0.028455008752505638,-0.05209491563528248,-0.1350073725705431,-0.3417475189247097,1722
nested_expanding,combined_50_50,-0.024422635848490946,0.19735227893253204,-0.1237514761957231,-0.17439547985549025,-0.07134854315781843,-0.3423004138216198,-0.18701811480566943,-0.09685025276932646,-0.09976448754952616,-0.024571156532834593,0.4889663182346109,12.79130926789631,0.030173471999065,0.030173471999064998,-0.05509597540181845,-0.12624671278657743,-0.3244975649413383,1722
nested_rolling_730d,time_series_slot_1,0.0674322912157657,0.28219602004340266,0.23895550052546594,0.33375815333859965,0.13536879990576414,-0.49813761563010184,0.13994161383883164,-0.11602412652352878,-0.16163908294084828,-0.03462063812585619,0.5,28.767123106318834,0.06783190952802569,0.06785888491654936,-0.08184199373773249,-0.1918545092534961,-0.34486937970377024,1722
nested_rolling_730d,time_series_slot_2,0.0775799274300193,0.28588048507275426,0.2713718895862229,0.385104597319593,0.15978684196705661,-0.4855213763221756,0.1895555169869405,-0.11602412652352878,-0.16122757157453016,-0.03483744814345851,0.5,28.37303585132901,0.06691893843744086,0.0669292708712172,-0.09245373098362847,-0.1911577634306518,-0.3391883595100325,1722
nested_rolling_730d,time_series_slot_3,0.07832875062109103,0.29169478247459585,0.2685298309300846,0.3832342409702118,0.16067329141553818,-0.4875032429535212,0.18435144321416042,-0.11597210097233834,-0.16324837728032593,-0.03540035727781474,0.49767711962833916,30.072854333121573,0.07092444034178971,0.07093897967347307,-0.0943969087130869,-0.19704279760243068,-0.34266158006514613,1722
nested_rolling_730d,time_series_ensemble,0.05724437664756562,0.20492022298653564,0.2793495723032025,0.394283339581549,0.18405811205441971,-0.31101251669168706,0.18657884376148592,-0.06752006322860449,-0.09480155492279452,-0.024694572404350097,0.4994192799070848,23.10350122207708,0.05448445022386485,0.05449894397865307,-0.06834719562951279,-0.14130591257149314,-0.34979131611626235,1722
nested_rolling_730d,breakout_slot_1,0.17482712660094768,0.3493273901567696,0.500467846287374,0.6722329302829315,0.4252054837938954,-0.411159153078302,0.7114986668926979,-0.1417702648456025,-0.1667301750459942,-0.042629145114113094,0.5005807200929152,39.28400744979864,0.09266720661445652,0.09266720661445652,-0.08722427727651602,-0.25534726560621884,-0.37079347363762327,1722
